2021-03-05T01:07:47.328Z [debug] [main] Safe constructing new CMakeTools instance
2021-03-05T01:07:47.329Z [debug] [variant] Constructing VariantManager
2021-03-05T01:07:47.331Z [debug] [main] Constructing new CMakeTools instance
2021-03-05T01:07:47.332Z [debug] [main] Starting CMakeTools second-phase init
2021-03-05T01:07:47.476Z [info] [variant] Loaded new set of variants
2021-03-05T01:07:47.479Z [debug] [main] CMakeTools instance initialization complete.
2021-03-05T01:07:47.521Z [debug] [kit] Reading kits file /home/soic/.local/share/CMakeTools/cmake-tools-kits.json
2021-03-05T01:07:47.586Z [info] [kit] Successfully loaded 6 kits from /home/soic/.local/share/CMakeTools/cmake-tools-kits.json
2021-03-05T01:07:47.591Z [debug] [kit] Not reading non-existent kits file: /home/soic/.vscode/cmake-kits.json
2021-03-05T01:07:47.774Z [debug] [extension] Configuring workspace on open file:///home/soic
2021-03-05T01:07:47.776Z [debug] [kitsController] Start selection of kits. Found 8 kits.
2021-03-05T01:07:47.776Z [debug] [kitsController] Opening kit selection QuickPick
2021-03-05T01:07:49.981Z [debug] [kitsController] User cancelled Kit selection
2021-03-05T02:28:09.446Z [debug] [main] Not starting CMake driver: no kits defined
2021-03-05T02:28:09.447Z [debug] [main] Not starting CMake driver: no kits defined
2021-03-05T02:28:11.600Z [debug] [main] Not starting CMake driver: no kits defined
2021-03-05T02:28:11.600Z [debug] [main] Not starting CMake driver: no kits defined
2021-03-05T02:29:13.765Z [debug] [main] Not starting CMake driver: no kits defined
2021-03-05T02:29:13.766Z [debug] [main] Not starting CMake driver: no kits defined
2021-03-05T02:29:13.979Z [debug] [main] Not starting CMake driver: no kits defined
2021-03-05T02:29:13.979Z [debug] [main] Not starting CMake driver: no kits defined
2021-03-05T02:29:14.122Z [debug] [main] Not starting CMake driver: no kits defined
2021-03-05T02:29:14.123Z [debug] [main] Not starting CMake driver: no kits defined
2021-03-05T02:29:14.247Z [debug] [main] Not starting CMake driver: no kits defined
2021-03-05T02:29:14.248Z [debug] [main] Not starting CMake driver: no kits defined
2021-03-05T02:29:14.402Z [debug] [main] Not starting CMake driver: no kits defined
2021-03-05T02:29:14.403Z [debug] [main] Not starting CMake driver: no kits defined
2021-03-05T02:29:14.575Z [debug] [main] Not starting CMake driver: no kits defined
2021-03-05T02:29:14.575Z [debug] [main] Not starting CMake driver: no kits defined
2021-03-04T01:41:37.194Z [debug] [main] Not starting CMake driver: no kits defined
2021-03-04T01:41:37.194Z [debug] [main] Not starting CMake driver: no kits defined
2021-03-04T01:41:44.434Z [debug] [main] Not starting CMake driver: no kits defined
2021-03-04T01:41:44.435Z [debug] [main] Not starting CMake driver: no kits defined
2021-03-04T01:41:50.725Z [debug] [main] Not starting CMake driver: no kits defined
2021-03-04T01:41:50.725Z [debug] [main] Not starting CMake driver: no kits defined
2021-03-04T01:41:56.264Z [debug] [main] Not starting CMake driver: no kits defined
2021-03-04T01:41:56.265Z [debug] [main] Not starting CMake driver: no kits defined
2021-03-04T01:42:01.766Z [debug] [main] Not starting CMake driver: no kits defined
2021-03-04T01:42:01.766Z [debug] [main] Not starting CMake driver: no kits defined
2021-03-04T01:42:07.802Z [debug] [main] Not starting CMake driver: no kits defined
2021-03-04T01:42:07.802Z [debug] [main] Not starting CMake driver: no kits defined
2021-03-04T01:42:14.525Z [debug] [main] Not starting CMake driver: no kits defined
2021-03-04T01:42:14.526Z [debug] [main] Not starting CMake driver: no kits defined
2021-03-04T01:42:20.015Z [debug] [main] Not starting CMake driver: no kits defined
2021-03-04T01:42:20.015Z [debug] [main] Not starting CMake driver: no kits defined
2021-03-04T01:42:21.778Z [debug] [main] Not starting CMake driver: no kits defined
2021-03-04T01:42:21.779Z [debug] [main] Not starting CMake driver: no kits defined
2021-03-04T01:44:17.306Z [debug] [main] Not starting CMake driver: no kits defined
2021-03-04T01:44:17.306Z [debug] [main] Not starting CMake driver: no kits defined
2021-03-04T01:44:18.699Z [debug] [main] Not starting CMake driver: no kits defined
2021-03-04T01:44:18.699Z [debug] [main] Not starting CMake driver: no kits defined
