[2021-01-22 10:03:28.593] [exthost] [info] extension host started
[2021-01-22 10:03:28.804] [exthost] [info] ExtensionService#_doActivateExtension ms-vscode.cpptools {"startup":false,"extensionId":{"value":"ms-vscode.cpptools","_lower":"ms-vscode.cpptools"},"activationEvent":"onLanguage:c"}
[2021-01-22 10:03:28.805] [exthost] [info] ExtensionService#loadCommonJSModule file:///home/soic/.vscode-server/extensions/ms-vscode.cpptools-1.2.0-insiders2/dist/main
[2021-01-22 10:03:28.953] [exthost] [info] ExtensionService#_doActivateExtension vscode.debug-auto-launch {"startup":true,"extensionId":{"value":"vscode.debug-auto-launch","_lower":"vscode.debug-auto-launch"},"activationEvent":"*"}
[2021-01-22 10:03:28.953] [exthost] [info] ExtensionService#loadCommonJSModule file:///home/soic/.vscode-server/bin/ea3859d4ba2f3e577a159bc91e3074c5d85c0523/extensions/debug-auto-launch/dist/extension
[2021-01-22 10:03:28.959] [exthost] [info] ExtensionService#_doActivateExtension vscode.emmet {"startup":true,"extensionId":{"value":"vscode.emmet","_lower":"vscode.emmet"},"activationEvent":"*"}
[2021-01-22 10:03:28.960] [exthost] [info] ExtensionService#loadCommonJSModule file:///home/soic/.vscode-server/bin/ea3859d4ba2f3e577a159bc91e3074c5d85c0523/extensions/emmet/dist/node/emmetNodeMain
[2021-01-22 10:03:29.039] [exthost] [info] ExtensionService#_doActivateExtension vscode.git {"startup":true,"extensionId":{"value":"vscode.github","_lower":"vscode.github"},"activationEvent":"*"}
[2021-01-22 10:03:29.039] [exthost] [info] ExtensionService#loadCommonJSModule file:///home/soic/.vscode-server/bin/ea3859d4ba2f3e577a159bc91e3074c5d85c0523/extensions/git/dist/main
[2021-01-22 10:03:29.131] [exthost] [info] ExtensionService#_doActivateExtension vscode.merge-conflict {"startup":true,"extensionId":{"value":"vscode.merge-conflict","_lower":"vscode.merge-conflict"},"activationEvent":"*"}
[2021-01-22 10:03:29.132] [exthost] [info] ExtensionService#loadCommonJSModule file:///home/soic/.vscode-server/bin/ea3859d4ba2f3e577a159bc91e3074c5d85c0523/extensions/merge-conflict/dist/mergeConflictMain
[2021-01-22 10:03:29.165] [exthost] [info] ExtensionService#_doActivateExtension vscode.search-result {"startup":true,"extensionId":{"value":"vscode.search-result","_lower":"vscode.search-result"},"activationEvent":"*"}
[2021-01-22 10:03:29.165] [exthost] [info] ExtensionService#loadCommonJSModule file:///home/soic/.vscode-server/bin/ea3859d4ba2f3e577a159bc91e3074c5d85c0523/extensions/search-result/dist/extension.js
[2021-01-22 10:03:29.660] [exthost] [info] ExtensionService#_doActivateExtension vscode.github {"startup":true,"extensionId":{"value":"vscode.github","_lower":"vscode.github"},"activationEvent":"*"}
[2021-01-22 10:03:29.660] [exthost] [info] ExtensionService#loadCommonJSModule file:///home/soic/.vscode-server/bin/ea3859d4ba2f3e577a159bc91e3074c5d85c0523/extensions/github/dist/extension.js
[2021-01-22 10:03:30.130] [exthost] [info] ExtensionService#_doActivateExtension ms-vscode.cmake-tools {"startup":true,"extensionId":{"value":"ms-vscode.cmake-tools","_lower":"ms-vscode.cmake-tools"},"activationEvent":"workspaceContains:**/CMakeLists.txt"}
[2021-01-22 10:03:30.130] [exthost] [info] ExtensionService#loadCommonJSModule file:///home/soic/.vscode-server/extensions/ms-vscode.cmake-tools-1.5.3/dist/main
[2021-01-22 10:03:30.320] [exthost] [info] ExtensionService#_doActivateExtension ms-vscode.js-debug {"startup":false,"extensionId":{"value":"ms-vscode.js-debug","_lower":"ms-vscode.js-debug"},"activationEvent":"onCommand:extension.js-debug.clearAutoAttachVariables"}
[2021-01-22 10:03:30.320] [exthost] [info] ExtensionService#loadCommonJSModule file:///home/soic/.vscode-server/bin/ea3859d4ba2f3e577a159bc91e3074c5d85c0523/extensions/ms-vscode.js-debug/src/extension.js
[2021-01-22 10:03:30.724] [exthost] [error] {"message":"Git error","stdout":"","stderr":"","exitCode":128}
[2021-01-22 10:03:30.724] [exthost] [error] {"message":"Git error","stdout":"","stderr":"","exitCode":128}
[2021-01-22 10:03:30.724] [exthost] [error] {"message":"Git error","stdout":"","stderr":"","exitCode":128}
[2021-01-22 10:03:30.724] [exthost] [error] {"message":"Git error","stdout":"","stderr":"","exitCode":128}
[2021-01-22 10:03:30.724] [exthost] [error] {"message":"Git error","stdout":"","stderr":"","exitCode":128}
[2021-01-22 10:03:30.724] [exthost] [error] {"message":"Git error","stdout":"","stderr":"","exitCode":128}
[2021-01-22 10:03:30.725] [exthost] [error] {"message":"Git error","stdout":"","stderr":"","exitCode":128}
[2021-01-22 10:03:30.725] [exthost] [error] {"message":"Git error","stdout":"","stderr":"","exitCode":128}
[2021-01-22 10:03:30.725] [exthost] [error] {"message":"Git error","stdout":"","stderr":"","exitCode":128}
[2021-01-22 10:03:30.725] [exthost] [error] {"message":"Git error","stdout":"","stderr":"","exitCode":128}
[2021-01-22 10:03:30.725] [exthost] [error] {"message":"Git error","stdout":"","stderr":"","exitCode":128}
[2021-01-22 10:03:30.725] [exthost] [error] {"message":"Git error","stdout":"","stderr":"","exitCode":128}
[2021-01-22 10:03:30.725] [exthost] [error] {"message":"Git error","stdout":"","stderr":"","exitCode":128}
[2021-01-22 10:03:30.725] [exthost] [error] {"message":"Git error","stdout":"","stderr":"","exitCode":128}
[2021-01-22 10:03:30.725] [exthost] [error] {"message":"Git error","stdout":"","stderr":"","exitCode":128}
[2021-01-22 10:03:30.725] [exthost] [error] {"message":"Git error","stdout":"","stderr":"","exitCode":128}
[2021-01-22 10:03:30.725] [exthost] [error] {"message":"Git error","stdout":"","stderr":"","exitCode":128}
[2021-01-22 10:03:30.725] [exthost] [error] {"message":"Git error","stdout":"","stderr":"","exitCode":128}
[2021-01-22 10:03:30.725] [exthost] [error] {"message":"Git error","stdout":"","stderr":"","exitCode":128}
[2021-01-22 10:03:30.725] [exthost] [error] {"message":"Git error","stdout":"","stderr":"","exitCode":128}
[2021-01-22 10:03:30.725] [exthost] [error] {"message":"Git error","stdout":"","stderr":"","exitCode":128}
[2021-01-22 10:03:30.725] [exthost] [error] {"message":"Git error","stdout":"","stderr":"","exitCode":128}
[2021-01-22 10:03:30.725] [exthost] [error] {"message":"Git error","stdout":"","stderr":"","exitCode":128}
[2021-01-22 10:03:30.725] [exthost] [error] {"message":"Git error","stdout":"","stderr":"","exitCode":128}
[2021-01-22 10:03:30.725] [exthost] [error] {"message":"Git error","stdout":"","stderr":"","exitCode":128}
[2021-01-22 10:03:30.725] [exthost] [error] {"message":"Git error","stdout":"","stderr":"","exitCode":128}
[2021-01-22 10:03:30.725] [exthost] [error] {"message":"Git error","stdout":"","stderr":"","exitCode":128}
[2021-01-22 10:03:30.725] [exthost] [error] {"message":"Git error","stdout":"","stderr":"","exitCode":128}
[2021-01-22 10:03:30.725] [exthost] [error] {"message":"Git error","stdout":"","stderr":"","exitCode":128}
[2021-01-22 10:03:30.725] [exthost] [error] {"message":"Git error","stdout":"","stderr":"","exitCode":128}
[2021-01-22 10:03:30.725] [exthost] [error] {"message":"Git error","stdout":"","stderr":"","exitCode":128}
[2021-01-22 10:03:30.725] [exthost] [error] {"message":"Git error","stdout":"","stderr":"","exitCode":128}
[2021-01-22 10:03:30.725] [exthost] [error] {"message":"Git error","stdout":"","stderr":"","exitCode":128}
[2021-01-22 10:03:30.725] [exthost] [error] {"message":"Git error","stdout":"","stderr":"","exitCode":128}
[2021-01-22 10:03:30.725] [exthost] [error] {"message":"Git error","stdout":"","stderr":"","exitCode":128}
[2021-01-22 10:03:30.725] [exthost] [error] {"message":"Git error","stdout":"","stderr":"","exitCode":128}
[2021-01-22 10:03:30.725] [exthost] [error] {"message":"Git error","stdout":"","stderr":"","exitCode":128}
[2021-01-22 10:03:30.725] [exthost] [error] {"message":"Git error","stdout":"","stderr":"","exitCode":128}
[2021-01-22 10:03:30.725] [exthost] [error] {"message":"Git error","stdout":"","stderr":"","exitCode":128}
[2021-01-22 10:03:30.725] [exthost] [error] {"message":"Git error","stdout":"","stderr":"","exitCode":128}
[2021-01-22 10:03:30.725] [exthost] [error] {"message":"Git error","stdout":"","stderr":"","exitCode":128}
[2021-01-22 10:03:30.725] [exthost] [error] {"message":"Git error","stdout":"","stderr":"","exitCode":128}
[2021-01-22 10:03:30.726] [exthost] [error] {"message":"Git error","stdout":"","stderr":"","exitCode":128}
[2021-01-22 10:03:30.726] [exthost] [error] {"message":"Git error","stdout":"","stderr":"","exitCode":128}
[2021-01-22 10:03:30.726] [exthost] [error] {"message":"Git error","stdout":"","stderr":"","exitCode":128}
[2021-01-22 10:03:30.726] [exthost] [error] {"message":"Git error","stdout":"","stderr":"","exitCode":128}
[2021-01-22 10:03:30.726] [exthost] [error] {"message":"Git error","stdout":"","stderr":"","exitCode":128}
[2021-01-22 10:03:30.726] [exthost] [error] {"message":"Git error","stdout":"","stderr":"","exitCode":128}
[2021-01-22 10:03:30.726] [exthost] [error] {"message":"Git error","stdout":"","stderr":"","exitCode":128}
[2021-01-22 10:03:30.726] [exthost] [error] {"message":"Git error","stdout":"","stderr":"","exitCode":128}
[2021-01-22 10:03:30.726] [exthost] [error] {"message":"Git error","stdout":"","stderr":"","exitCode":128}
[2021-01-22 10:03:30.726] [exthost] [error] {"message":"Git error","stdout":"","stderr":"","exitCode":128}
[2021-01-22 10:03:30.726] [exthost] [error] {"message":"Git error","stdout":"","stderr":"","exitCode":128}
[2021-01-22 10:03:30.726] [exthost] [error] {"message":"Git error","stdout":"","stderr":"","exitCode":128}
[2021-01-22 10:03:30.726] [exthost] [error] {"message":"Git error","stdout":"","stderr":"","exitCode":128}
[2021-01-22 10:03:30.726] [exthost] [error] {"message":"Git error","stdout":"","stderr":"","exitCode":128}
[2021-01-22 10:03:30.726] [exthost] [error] {"message":"Git error","stdout":"","stderr":"","exitCode":128}
[2021-01-22 10:03:30.726] [exthost] [error] {"message":"Git error","stdout":"","stderr":"","exitCode":128}
[2021-01-22 10:03:30.726] [exthost] [error] {"message":"Git error","stdout":"","stderr":"","exitCode":128}
[2021-01-22 10:03:30.726] [exthost] [error] {"message":"Git error","stdout":"","stderr":"","exitCode":128}
[2021-01-22 10:03:30.726] [exthost] [error] {"message":"Git error","stdout":"","stderr":"","exitCode":128}
[2021-01-22 10:03:30.726] [exthost] [error] {"message":"Git error","stdout":"","stderr":"","exitCode":128}
[2021-01-22 10:03:30.726] [exthost] [error] {"message":"Git error","stdout":"","stderr":"","exitCode":128}
[2021-01-22 10:03:30.726] [exthost] [error] {"message":"Git error","stdout":"","stderr":"","exitCode":128}
[2021-01-22 10:03:30.726] [exthost] [error] {"message":"Git error","stdout":"","stderr":"","exitCode":128}
[2021-01-22 10:03:30.726] [exthost] [error] {"message":"Git error","stdout":"","stderr":"","exitCode":128}
[2021-01-22 10:03:30.726] [exthost] [error] {"message":"Git error","stdout":"","stderr":"","exitCode":128}
[2021-01-22 10:03:30.726] [exthost] [error] {"message":"Git error","stdout":"","stderr":"","exitCode":128}
[2021-01-22 10:03:30.726] [exthost] [error] {"message":"Git error","stdout":"","stderr":"","exitCode":128}
[2021-01-22 10:03:30.726] [exthost] [error] {"message":"Git error","stdout":"","stderr":"","exitCode":128}
[2021-01-22 10:03:30.726] [exthost] [error] {"message":"Git error","stdout":"","stderr":"","exitCode":128}
[2021-01-22 10:03:30.726] [exthost] [error] {"message":"Git error","stdout":"","stderr":"","exitCode":128}
[2021-01-22 10:03:30.726] [exthost] [error] {"message":"Git error","stdout":"","stderr":"","exitCode":128}
[2021-01-22 10:03:30.726] [exthost] [error] {"message":"Git error","stdout":"","stderr":"","exitCode":128}
[2021-01-22 10:03:30.726] [exthost] [error] {"message":"Git error","stdout":"","stderr":"","exitCode":128}
[2021-01-22 10:03:30.726] [exthost] [error] {"message":"Git error","stdout":"","stderr":"","exitCode":128}
[2021-01-22 10:03:30.726] [exthost] [error] {"message":"Git error","stdout":"","stderr":"","exitCode":128}
[2021-01-22 10:03:30.726] [exthost] [error] {"message":"Git error","stdout":"","stderr":"","exitCode":128}
[2021-01-22 10:03:30.726] [exthost] [error] {"message":"Git error","stdout":"","stderr":"","exitCode":128}
[2021-01-22 10:03:30.726] [exthost] [error] {"message":"Git error","stdout":"","stderr":"","exitCode":128}
[2021-01-22 10:03:30.726] [exthost] [error] {"message":"Git error","stdout":"","stderr":"","exitCode":128}
